INFO:Logger:Starting ichimoku screener
INFO:Logger:Filter Settings: {'volume_min': '400000', 'pe_min': '0', 'pe_max': '100', 'market_cap_min': '500000000', 'min_stock_value': '1'}
INFO:Logger:Analyzing ticker: A
INFO:Logger:Analyzing ticker: AA
INFO:Logger:Analyzing ticker: AAAP
INFO:Logger:Analyzing ticker: AAC
INFO:Logger:Analyzing ticker: AAL
INFO:Logger:Analyzing ticker: AAMC
INFO:Logger:Analyzing ticker: AAME
INFO:Logger:Analyzing ticker: AAN
INFO:Logger:Analyzing ticker: AAOI
INFO:Logger:Analyzing ticker: AAON
INFO:Logger:Analyzing ticker: AAP
INFO:Logger:Analyzing ticker: AAPC
INFO:Logger:Analyzing ticker: AAPL
INFO:Logger:Analyzing ticker: AAT
INFO:Logger:Analyzing ticker: AAU
INFO:Logger:Analyzing ticker: AAV
INFO:Logger:Analyzing ticker: AAWW
INFO:Logger:Analyzing ticker: AAXJ
INFO:Logger:Analyzing ticker: AB
INFO:Logger:Analyzing ticker: ABAC
INFO:Logger:Analyzing ticker: ABAX
INFO:Logger:Analyzing ticker: ABB
INFO:Logger:Analyzing ticker: ABBV
INFO:Logger:Analyzing ticker: ABC
INFO:Logger:Analyzing ticker: ABCB
INFO:Logger:Analyzing ticker: ABCD
INFO:Logger:Analyzing ticker: ABCO
INFO:Logger:Analyzing ticker: ABDC
INFO:Logger:Analyzing ticker: ABE           
INFO:Logger:Analyzing ticker: ABEO
INFO:Logger:Analyzing ticker: ABEOW
INFO:Logger:Analyzing ticker: ABEV
INFO:Logger:Analyzing ticker: ABG
INFO:Logger:Analyzing ticker: ABIL
INFO:Logger:Analyzing ticker: ABIO
INFO:Logger:Analyzing ticker: ABM
INFO:Logger:Analyzing ticker: ABMD
INFO:Logger:Analyzing ticker: ABR
INFO:Logger:Analyzing ticker: ABRN
INFO:Logger:Analyzing ticker: ABT
INFO:Logger:Analyzing ticker: ABTL
INFO:Logger:Analyzing ticker: ABTX
INFO:Logger:Analyzing ticker: ABUS
INFO:Logger:Analyzing ticker: ABX
INFO:Logger:Analyzing ticker: ABY
INFO:Logger:Analyzing ticker: AC
INFO:Logger:Analyzing ticker: ACAD
INFO:Logger:Analyzing ticker: ACAS
INFO:Logger:Analyzing ticker: ACAT
INFO:Logger:Analyzing ticker: ACBI
INFO:Logger:Analyzing ticker: ACC
INFO:Logger:Analyzing ticker: ACCO
INFO:Logger:Analyzing ticker: ACET
INFO:Logger:Analyzing ticker: ACFC
INFO:Logger:Analyzing ticker: ACGL
INFO:Logger:Analyzing ticker: ACH
INFO:Logger:Analyzing ticker: ACHC
INFO:Logger:Analyzing ticker: ACHN
INFO:Logger:Analyzing ticker: ACIA
INFO:Logger:Analyzing ticker: ACIW
INFO:Logger:Analyzing ticker: ACLS
INFO:Logger:Analyzing ticker: ACM
INFO:Logger:Analyzing ticker: ACN
INFO:Logger:Analyzing ticker: ACNB
INFO:Logger:Analyzing ticker: ACOR
INFO:Logger:Analyzing ticker: ACP
INFO:Logger:Analyzing ticker: ACPW
INFO:Logger:Analyzing ticker: ACRE
INFO:Logger:Analyzing ticker: ACRS
INFO:Logger:Analyzing ticker: ACRX
INFO:Logger:Analyzing ticker: ACSF
INFO:Logger:Analyzing ticker: ACST
INFO:Logger:Analyzing ticker: ACTA
INFO:Logger:Analyzing ticker: ACTG
INFO:Logger:Analyzing ticker: ACTS
INFO:Logger:Analyzing ticker: ACTX
INFO:Logger:Analyzing ticker: ACU
INFO:Logger:Analyzing ticker: ACUR
INFO:Logger:Analyzing ticker: ACV
INFO:Logger:Analyzing ticker: ACW
INFO:Logger:Analyzing ticker: ACWI
INFO:Logger:Analyzing ticker: ACWX
INFO:Logger:Analyzing ticker: ACXM
INFO:Logger:Analyzing ticker: ACY
INFO:Logger:Analyzing ticker: ADAP
INFO:Logger:Analyzing ticker: ADBE
INFO:Logger:Analyzing ticker: ADC
INFO:Logger:Analyzing ticker: ADES
INFO:Logger:Analyzing ticker: ADGE
INFO:Logger:Analyzing ticker: ADHD
INFO:Logger:Analyzing ticker: ADI
INFO:Logger:Analyzing ticker: ADK
INFO:Logger:Analyzing ticker: ADM
INFO:Logger:Analyzing ticker: ADMA
INFO:Logger:Analyzing ticker: ADMP
INFO:Logger:Analyzing ticker: ADMS
INFO:Logger:Analyzing ticker: ADP
INFO:Logger:Analyzing ticker: ADPT
INFO:Logger:Analyzing ticker: ADRA
INFO:Logger:Analyzing ticker: ADRD
INFO:Logger:Analyzing ticker: ADRE
INFO:Logger:Analyzing ticker: ADRO
INFO:Logger:Analyzing ticker: ADRU
INFO:Logger:Analyzing ticker: ADS
INFO:Logger:Analyzing ticker: ADSK
INFO:Logger:Analyzing ticker: ADTN
INFO:Logger:Analyzing ticker: ADUS
INFO:Logger:Analyzing ticker: ADVM
INFO:Logger:Analyzing ticker: ADX
INFO:Logger:Analyzing ticker: ADXS
INFO:Logger:Analyzing ticker: ADXSW
INFO:Logger:Analyzing ticker: AE
INFO:Logger:Analyzing ticker: AEB
INFO:Logger:Analyzing ticker: AED
INFO:Logger:Analyzing ticker: AEE
INFO:Logger:Analyzing ticker: AEG
INFO:Logger:Analyzing ticker: AEGN
INFO:Logger:Analyzing ticker: AEGR
INFO:Logger:Analyzing ticker: AEH
INFO:Logger:Analyzing ticker: AEHR
INFO:Logger:Analyzing ticker: AEIS
INFO:Logger:Analyzing ticker: AEK
INFO:Logger:Analyzing ticker: AEL
INFO:Logger:Analyzing ticker: AEM
INFO:Logger:Analyzing ticker: AEMD
INFO:Logger:Analyzing ticker: AEO
INFO:Logger:Analyzing ticker: AEP
INFO:Logger:Analyzing ticker: AEPI
INFO:Logger:Analyzing ticker: AER
INFO:Logger:Analyzing ticker: AERI
INFO:Logger:Analyzing ticker: AES
INFO:Logger:Analyzing ticker: AET
INFO:Logger:Analyzing ticker: AETI
INFO:Logger:Analyzing ticker: AEUA
INFO:Logger:Analyzing ticker: AEY
INFO:Logger:Analyzing ticker: AEZS
INFO:Logger:Analyzing ticker: AF
INFO:Logger:Analyzing ticker: AFA
INFO:Logger:Analyzing ticker: AFAM
INFO:Logger:Analyzing ticker: AFB
INFO:Logger:Analyzing ticker: AFC
INFO:Logger:Analyzing ticker: AFCO
INFO:Logger:Analyzing ticker: AFG
INFO:Logger:Analyzing ticker: AFGE
INFO:Logger:Analyzing ticker: AFGH
INFO:Logger:Analyzing ticker: AFH
INFO:Logger:Analyzing ticker: AFI
INFO:Logger:Analyzing ticker: AFL
INFO:Logger:Analyzing ticker: AFMD
INFO:Logger:Analyzing ticker: AFSD
INFO:Logger:Analyzing ticker: AFSI
INFO:Logger:Analyzing ticker: AFSS
INFO:Logger:Analyzing ticker: AFST
INFO:Logger:Analyzing ticker: AFT
INFO:Logger:Analyzing ticker: AFW
INFO:Logger:Analyzing ticker: AG
INFO:Logger:Analyzing ticker: AGC
INFO:Logger:Analyzing ticker: AGCO
INFO:Logger:Analyzing ticker: AGD
INFO:Logger:Analyzing ticker: AGEN
INFO:Logger:Analyzing ticker: AGFS
INFO:Logger:Analyzing ticker: AGFSW
INFO:Logger:Analyzing ticker: AGI
INFO:Logger:Analyzing ticker: AGII
INFO:Logger:Analyzing ticker: AGIIL
INFO:Logger:Analyzing ticker: AGIO
INFO:Logger:Analyzing ticker: AGLE
INFO:Logger:Analyzing ticker: AGM
INFO:Logger:Analyzing ticker: AGMX
INFO:Logger:Analyzing ticker: AGN
INFO:Logger:Analyzing ticker: AGNC
INFO:Logger:Analyzing ticker: AGNCB
INFO:Logger:Analyzing ticker: AGNCP
INFO:Logger:Analyzing ticker: AGND
INFO:Logger:Analyzing ticker: AGO
INFO:Logger:Analyzing ticker: AGR
INFO:Logger:Analyzing ticker: AGRO
INFO:Logger:Analyzing ticker: AGRX
INFO:Logger:Analyzing ticker: AGTC
INFO:Logger:Analyzing ticker: AGU
INFO:Logger:Analyzing ticker: AGX
INFO:Logger:Analyzing ticker: AGYS
INFO:Logger:Analyzing ticker: AGZD
INFO:Logger:Analyzing ticker: AHC
INFO:Logger:Analyzing ticker: AHGP
INFO:Logger:Analyzing ticker: AHH
INFO:Logger:Analyzing ticker: AHL
INFO:Logger:Analyzing ticker: AHP
